qualifyId,circuitId,raceId,driverId,constructorId,year,date,number,position,q1,q2,q3
1,1,18,1,1,2008,2008-03-16,22,1,1:26.572,1:25.187,1:26.714
2,1,18,9,2,2008,2008-03-16,4,2,1:26.103,1:25.315,1:26.869
3,1,18,5,1,2008,2008-03-16,23,3,1:25.664,1:25.452,1:27.079
4,1,18,13,6,2008,2008-03-16,2,4,1:25.994,1:25.691,1:27.178
5,1,18,2,2,2008,2008-03-16,3,5,1:25.960,1:25.518,1:27.236
6,1,18,15,7,2008,2008-03-16,11,6,1:26.427,1:26.101,1:28.527
7,1,18,3,3,2008,2008-03-16,7,7,1:26.295,1:26.059,1:28.687
8,1,18,14,9,2008,2008-03-16,9,8,1:26.381,1:26.063,1:29.041
9,1,18,10,7,2008,2008-03-16,12,9,1:26.919,1:26.164,1:29.593
10,1,18,20,5,2008,2008-03-16,15,10,1:26.702,1:25.842,\N
11,1,18,22,11,2008,2008-03-16,17,11,1:26.369,1:26.173,\N
12,1,18,4,4,2008,2008-03-16,5,12,1:26.907,1:26.188,\N
13,1,18,18,11,2008,2008-03-16,16,13,1:26.712,1:26.259,\N
14,1,18,6,3,2008,2008-03-16,8,14,1:26.891,1:26.413,\N
15,1,18,17,9,2008,2008-03-16,10,15,1:26.914,\N,\N
16,1,18,8,6,2008,2008-03-16,1,16,1:26.140,\N,\N
17,1,18,21,10,2008,2008-03-16,21,17,1:27.207,\N,\N
18,1,18,7,5,2008,2008-03-16,14,18,1:27.446,\N,\N
19,1,18,16,10,2008,2008-03-16,20,19,1:27.859,\N,\N
20,1,18,11,8,2008,2008-03-16,18,20,1:28.208,\N,\N
21,1,18,12,4,2008,2008-03-16,6,21,1:28.330,\N,\N
22,1,18,19,8,2008,2008-03-16,19,22,1:29.059,\N,\N
23,2,19,13,6,2008,2008-03-23,2,1,1:35.347,1:34.412,1:35.748
24,2,19,8,6,2008,2008-03-23,1,2,1:35.645,1:34.188,1:36.230
25,2,19,5,1,2008,2008-03-23,23,3,1:35.227,1:34.759,1:36.613
26,2,19,1,1,2008,2008-03-23,22,4,1:35.392,1:34.627,1:36.709
27,2,19,15,7,2008,2008-03-23,11,5,1:35.205,1:34.960,1:36.711
28,2,19,9,2,2008,2008-03-23,4,6,1:35.794,1:34.811,1:36.727
29,2,19,2,2,2008,2008-03-23,3,7,1:35.729,1:34.648,1:36.753
30,2,19,17,9,2008,2008-03-23,10,8,1:35.440,1:34.967,1:37.009
31,2,19,4,4,2008,2008-03-23,5,9,1:35.983,1:35.140,1:38.450
32,2,19,10,7,2008,2008-03-23,12,10,1:35.891,1:35.000,1:39.656
33,2,19,18,11,2008,2008-03-23,16,11,1:35.847,1:35.208,\N
34,2,19,14,9,2008,2008-03-23,9,12,1:36.058,1:35.408,\N
35,2,19,12,4,2008,2008-03-23,6,13,1:36.074,1:35.562,\N
36,2,19,22,11,2008,2008-03-23,17,14,1:36.198,1:35.622,\N
37,2,19,20,5,2008,2008-03-23,15,15,1:36.111,1:35.648,\N
